SL No.,Information,Details
1,Total campus area of the school,
2,Playground area,
3,Build up area,
4,Number of classrooms,
5,Size of classrooms,
6,Size of Labs including computer Lab,
7,Internet Facility,
8,No. of Girls washrooms,
9,No. of Boys washrooms,
10,School Infrastructure Photograph,
11,School Infrastructure List,
